version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
normalized,5,5,reverse_light_on,0.7945877459650329,0.7140323498401814,0.9176173590171276,0.7180312970973621,0.95085709026913,0.9338840999681476,0.5892058338450835
embeddings_only,6,1,reverse_light_on,0.9252883762200532,0.6658516707416463,0.9867149758454108,0.7951338199513382,0.8933261067168426,0.7653502029330064,0.7218406252588904
normalized,6,1,reverse_light_on,0.9465568229245532,0.6909056739197683,0.99,0.8378112131702342,0.927123627947761,0.7979084910741047,0.746335728295914
embeddings_only,6,2,reverse_light_on,0.955171196611366,0.7722960151802657,0.9830917874396136,0.865037194473964,0.9291033618636416,0.8084754351667778,0.7295098275286985
normalized,6,2,reverse_light_on,0.9721154323380972,0.8014208244577529,0.99,0.8886176520021353,0.9567184152615148,0.852215469742523,0.7767302521985602
embeddings_only,6,3,reverse_light_on,0.94831223628692,0.7479452054794521,0.978494623655914,0.8478260869565217,0.8948543679361549,0.8538478302689599,0.7197953791138799
normalized,6,3,reverse_light_on,0.9846048847483776,0.7789731940751764,0.989565785112486,0.8712344313249493,0.9232222448383264,0.901467416522848,0.7439932783136766
embeddings_only,6,4,reverse_light_on,0.9530483531885072,0.7611940298507462,0.9855072463768116,0.8589473684210526,0.9080597047573424,0.9191233697099253,0.7764540407664532
normalized,6,4,reverse_light_on,0.9677106020653948,0.7900777921314653,0.99,0.8740079388133924,0.9229437615042468,0.9412711653475012,0.8227600048223865
embeddings_only,6,5,reverse_light_on,0.948853615520282,0.7533632286995515,0.9824561403508772,0.8527918781725887,0.9001769843252386,0.9227363833606386,0.7703821620416957
normalized,6,5,reverse_light_on,0.9798650864348072,0.7722405949547559,0.99,0.8892014715250652,0.9310991715215524,0.9631116817821318,0.781371721588062
embeddings_only,6,6,reverse_light_on,0.7978786062447438,0.6620736435359762,0.953957214518624,0.8860782497032985,0.9351247368990624,0.6594178290549171,0.7882231793141663
normalized,6,6,reverse_light_on,0.815523295328902,0.710728513312981,0.9769197506098768,0.8991388416390397,0.957451924507782,0.6694887245018534,0.8213997489895909
embeddings_only,7,1,reverse_light_on,0.9627551499046942,0.587529586194113,0.9317996254811768,0.7131718628876546,0.927696859170537,0.8178339919629963,0.6345692200087516
normalized,7,1,reverse_light_on,0.9899910025011798,0.6211335660949558,0.9662025426337546,0.7362809273967778,0.9471781609946496,0.8481602548446011,0.6805606666878472
embeddings_only,7,2,reverse_light_on,0.8669055789007215,0.8252287544551258,0.9146358770833216,0.85679573616707,0.8970686166971138,0.963335094014049,0.6053569128435295
normalized,7,2,reverse_light_on,0.8772956230653095,0.8580147881447997,0.9417763199341344,0.8916429084068297,0.9406669377454344,0.9808183686015352,0.6240642241083578
embeddings_only,7,3,reverse_light_on,0.7784935464530224,0.8228775664186262,0.9889705049610058,0.7642200565276736,0.9162285965261784,0.6455839720643552,0.5060581605747
normalized,7,3,reverse_light_on,0.8035578259302688,0.83889962128466,0.99,0.7892551105038002,0.9512565385106372,0.6660973855078572,0.5526855269534678
embeddings_only,7,4,reverse_light_on,0.8964133179392001,0.7890405194663751,0.9258023134107012,0.8124560640315561,0.9663740962854512,0.769612408641865,0.5194131029562199
normalized,7,4,reverse_light_on,0.9339713699173202,0.8264930575904511,0.9634707408209668,0.8225234439606939,0.987452048026774,0.8163167537596002,0.5301890223056634
embeddings_only,7,5,reverse_light_on,0.8638729345355793,0.4908922444359571,0.9599370174607516,0.930597683901486,0.9242822223383316,0.8841598501809742,0.5957008157950376
normalized,7,5,reverse_light_on,0.8978046941509888,0.5279552752410563,0.9738742289357952,0.9741261344214578,0.9593154789098952,0.9031620531141544,0.6443884204637398
embeddings_only,7,6,reverse_light_on,0.7864560703624915,0.8786781234437255,0.9325430953953698,0.7284128067230474,0.9291401471120388,0.964274942038597,0.623415339909564
normalized,7,6,reverse_light_on,0.8050906953494523,0.9158216357210532,0.9614986865497668,0.767344199625413,0.94305051206886,0.9892537713927184,0.6415949011418804
