version,window_size,offset,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
normalized,4,3,0.99,0.8616799978448939,0.99,0.925189669134398,0.9581659549014656,0.9898739653977672,0.9190585109514248
embeddings_only,4,4,0.978921347897444,0.9532310389276542,0.9802590738476012,0.9126193964735804,0.9562510475333277,0.7646459545451504,0.9778062039152062
normalized,4,4,0.989855401797812,0.975044756183304,0.99,0.9405541636295004,0.9547524356836776,0.7994927244398327,0.9888991082961012
embeddings_only,5,1,0.98198238732706,0.9270833333333334,0.946808510638298,0.9368421052631578,0.9481956486925078,0.9869997440135582,0.9353640795991284
normalized,5,1,0.99,0.9621927235811448,0.970132502147162,0.9635097755395062,0.9570877085980196,0.99,0.953822271430425
embeddings_only,5,2,0.9887203547214444,0.96,0.985458347316516,0.979591836734694,0.9456034043391802,0.9841140246755358,0.9792958736578364
normalized,5,2,0.99,0.9875205369584116,0.99,0.989640865380475,0.9586050613934796,0.99,0.9893774808227532
embeddings_only,5,3,0.9814268910682152,0.8888888888888888,0.9813478853708936,0.9411764705882352,0.9484174673136914,0.9216625213163088,0.9413685380034024
normalized,5,3,0.99,0.901163979254703,0.99,0.95492103341531,0.9563363815670631,0.9543227655958753,0.9655817284519222
embeddings_only,5,4,0.974805559347262,0.6,0.9804493585462644,0.7499999999999999,0.9470584797110456,0.711111111111111,0.7720694303051548
normalized,5,4,0.9865838365055588,0.6402945657295084,0.99,0.7862927566646856,0.9521482403860698,0.7405097369174338,0.8181159171311213
embeddings_only,5,5,0.9876930876207752,0.9866300427696656,0.951692779100794,0.9484058441672484,0.9493616355251692,0.8310361847291848,0.7310330934478634
normalized,5,5,0.99,0.99,0.9822317494092224,0.9596240278077182,0.9548576556158639,0.8497109947328265,0.7771590793219263
embeddings_only,6,1,0.9782145234423668,0.8571428571428571,0.9574468085106383,0.9045226130653266,0.9477775479037611,0.9754629487878266,0.9035533429995256
normalized,6,1,0.9882911635784544,0.8804657385218299,0.9696961047674222,0.9335461777487204,0.9595354958728,0.9868158401094408,0.9195907388919672
embeddings_only,6,2,0.979786253025197,0.9545454545454546,0.875,0.9130434782608696,0.9465592369416993,0.9878109788444172,0.9119118641624208
normalized,6,2,0.9898568466049544,0.9852624036125252,0.8906153583119739,0.9321379762239698,0.9582947587631271,0.99,0.9377211939038742
embeddings_only,6,3,0.9759694435957492,0.8823529411764706,0.9375,0.9090909090909092,0.9487606083393948,0.9450331640026316,0.9072391402058592
normalized,6,3,0.9872223016563214,0.9210979967901168,0.9609391016936102,0.948201760019486,0.9504023200363388,0.9626441449525392,0.9561918880796986
embeddings_only,6,4,0.9804172066615788,0.980698736377563,0.9848107432136284,0.9891646941144469,0.9441733275628432,0.9818848152937808,0.9873189073508746
normalized,6,4,0.99,0.99,0.99,0.99,0.9519160265188353,0.99,0.99
embeddings_only,6,5,0.9792790205569948,0.9,0.9812990020970558,0.9473684210526316,0.9480755192454317,0.9852391601403176,0.9474801481712992
normalized,6,5,0.989920294214875,0.9188041544312364,0.99,0.961006713448695,0.9590232788599361,0.99,0.9677727055171238
