version,window_size,offset,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,6,3,0.9867135836089258,0.9142857142857144,0.981011747806982,0.955223880597015,0.9013537838789476,0.9018359091676644,0.8634652619754153
normalized,6,3,0.99,0.932125744456944,0.99,0.9693550898952964,0.9182616513251496,0.9310980433527928,0.8778525844599336
embeddings_only,6,4,0.9801742611131908,0.9827760848130176,0.9841328283377676,0.9805693773939722,0.9112433588319444,0.9393830444660862,0.9393830444660862
normalized,6,4,0.99,0.99,0.99,0.99,0.9250082562753652,0.9691261857119332,0.98241257200837
embeddings_only,6,5,0.9800063293860808,0.9473684210526316,0.9841184232950884,0.972972972972973,0.9030250529217906,0.9409087516396448,0.9136202713721768
normalized,6,5,0.99,0.959993583138589,0.99,0.9888376340354736,0.922543954639176,0.9806934101310602,0.9592508452301806
embeddings_only,6,6,0.976975354112232,0.8877556248015894,0.8420285620695334,0.9170545573856927,0.9215503041727906,0.9064157189539188,0.8887507251211707
normalized,6,6,0.9894135942119168,0.9020476660622097,0.8523909620504287,0.9347235217825666,0.9423693978106557,0.9410630385785572,0.9141216521308636
embeddings_only,7,1,0.9733699769751152,0.7399971374520675,0.8975848044319138,0.8216791707600986,0.9627037058638954,0.8832514509789465,0.827636024448826
normalized,7,1,0.9880335817842666,0.7641201358729319,0.9137618214180978,0.84418676449954,0.987999237795205,0.9315927447487492,0.8459365338115208
embeddings_only,7,2,0.978750183647933,0.7017529604470497,0.7932485842248987,0.754865616827325,0.9419724331188836,0.8889895998292592,0.7245758636192617
normalized,7,2,0.989735624331124,0.7226869099086446,0.8387338459621551,0.7714874413391752,0.9772972684671646,0.9023580504177864,0.7735315965782166
embeddings_only,7,3,0.9831188599941804,0.706121329814819,0.9799067328115608,0.8498055959144772,0.9357584451761606,0.9065997707701214,0.8009578772784435
normalized,7,3,0.99,0.7497939593910224,0.989959584467618,0.8788776504716317,0.9706337408319352,0.9377494312380994,0.8297332514842496
embeddings_only,7,4,0.984486229513056,0.6509176101680298,0.9606494940399692,0.8271319898886,0.9523630381325372,0.7638643543500485,0.8894485288533203
normalized,7,4,0.99,0.6680456483656005,0.9739617597779864,0.8544056959145883,0.9712275360573396,0.7768293350665695,0.9332273485500696
embeddings_only,7,5,0.9845086866095611,0.8103235812306891,0.904124571252251,0.985546179754512,0.8985694099075583,0.8414982587408777,0.7686784882623776
normalized,7,5,0.99,0.8420804412228086,0.9532975527428258,0.99,0.9392361819486732,0.8621530744052416,0.7934224450601206
embeddings_only,7,6,0.9815009825347208,0.6567269102805909,0.9682446963051236,0.9720662601360108,0.9052308507077984,0.8400402593482093,0.7166018319402322
normalized,7,6,0.99,0.6982884259390656,0.979940282509367,0.9887307340972498,0.941693956636992,0.8524011891589739,0.7590411012042384
embeddings_only,7,7,0.9746786967786008,0.7266922666213825,0.9815991311273636,0.9650776695858548,0.9208530589190752,0.8984001354969848,0.9480311096275428
normalized,7,7,0.9880191752932708,0.7728915594045163,0.99,0.9834509014672536,0.964314946143843,0.9195221450290336,0.9755164961938604
embeddings_only,8,1,0.9877562997462906,0.8506825903836419,0.8093976344398558,0.9132499402363108,0.9776948861182908,0.9629915137626356,0.8907869582611042
normalized,8,1,0.99,0.8994107660272623,0.8284454864735361,0.9238794698231292,0.988446018638016,0.9815384379251428,0.9019214756303072
embeddings_only,8,2,0.9711524693928156,0.8910174438362999,0.9208925303735294,0.8360722911747347,0.9083106008453712,0.7611399892083007,0.8637912404474976
normalized,8,2,0.9861004358443816,0.9359887548343492,0.9590818181501962,0.8709910240938669,0.9565490708737014,0.809471162561985,0.9067618992356268
embeddings_only,8,3,0.9824340863695477,0.6097090818488244,0.9795848772805577,0.8872123168498262,0.9240142665177326,0.914351639614396,0.9148099501456342
