version,window_size,offset,attack_type,accuracy,precision,recall,f1_score,roc_auc,auc_pr,mcc
embeddings_only,4,4,reverse_light_on_xgboost,0.9895859279447744,0.9457900411831296,0.9575574334095822,0.9799095641032548,0.9457179176396866,0.9776164948980876,0.979915349619594
normalized,4,4,reverse_light_on_xgboost,0.99,0.9765679667212138,0.9886912192191332,0.9899332744529352,0.9536321572382924,0.9891100312187764,0.989923046534142
embeddings_only,5,1,reverse_light_on,0.9897071872227152,0.94151376146789,0.9783646707889766,0.9658823529411764,0.9505675572392045,0.9827065981655556,0.9602725877502396
normalized,5,1,reverse_light_on,0.99,0.961394811029223,0.9892457074405826,0.9873370876277876,0.9570877085980196,0.99,0.989523512238164
embeddings_only,5,2,reverse_light_on,0.9778982961033512,0.9784688995215312,0.9879227053140096,0.983173076923077,0.945963498167297,0.9798000695754778,0.9802925677638584
normalized,5,2,reverse_light_on,0.9889441736487108,0.9888957571930198,0.99,0.99,0.9586050613934796,0.989883798135026,0.99
embeddings_only,5,3,reverse_light_on,0.983994799000464,0.9776566756940882,0.978494623655914,0.9873417721518988,0.9517495184750474,0.985170686734934,0.9852360150552888
normalized,5,3,reverse_light_on,0.99,0.9896728322774764,0.9897042003199118,0.99,0.9563363815670631,0.99,0.99
embeddings_only,5,4,reverse_light_on,0.9867724867724867,0.9852216748768472,0.966183574879227,0.975609756097561,0.9544340152918924,0.9812307698132796,0.9666231290900034
normalized,5,4,reverse_light_on,0.99,0.99,0.9814977839312844,0.986876451232081,0.9521482403860698,0.99,0.98650380378236
embeddings_only,5,5,reverse_light_on_xgboost,0.9800723635685658,0.9696536028035532,0.9830421635130576,0.9896575288312436,0.9560689047137911,0.9860849478141918,0.961644627271366
normalized,5,5,reverse_light_on_xgboost,0.99,0.981538692006184,0.99,0.99,0.9548576556158639,0.99,0.9784642798200972
embeddings_only,6,1,reverse_light_on,0.9718516510966704,0.9426605504587156,0.9732929497518348,0.9670588235294116,0.9493899676992683,0.980811120085893,0.9616585236924546
normalized,6,1,reverse_light_on,0.9846755172432656,0.9719222659858664,0.9878868629102012,0.9843838371156096,0.9595354958728,0.99,0.987472501098919
embeddings_only,6,2,reverse_light_on,0.983277566275351,0.9784172661870504,0.9855072463768116,0.9819494584837546,0.9470591969612541,0.9836501001861322,0.9788558870791472
normalized,6,2,reverse_light_on,0.99,0.9889172591469224,0.99,0.99,0.9582947587631271,0.99,0.9890699555748728
embeddings_only,6,3,reverse_light_on,0.9763038854205724,0.9847495709205372,0.971326164874552,0.983666061705989,0.949949817837176,0.9819781155116336,0.9809980355428042
normalized,6,3,reverse_light_on,0.9874154274347084,0.99,0.9853237891449246,0.99,0.9505111446274667,0.99,0.99
embeddings_only,6,4,reverse_light_on,0.9827244577579902,0.98044862469532,0.9855072463768116,0.9792228430402302,0.9499620113095015,0.9873636358162768,0.988669216820358
normalized,6,4,reverse_light_on,0.99,0.99,0.99,0.9898713793045554,0.9519160265188353,0.99,0.99
embeddings_only,6,5,reverse_light_on,0.9825560944117744,0.9751720104885622,0.9883040935672516,0.9757839276365624,0.9472317892484703,0.9786848266017376,0.9896514324800822
normalized,6,5,reverse_light_on,0.99,0.9864399091788362,0.99,0.987500838128926,0.9590232788599361,0.9899044573590978,0.99
embeddings_only,6,6,reverse_light_on_xgboost,0.9776426829664238,0.9503938390455028,0.9532143836747003,0.9724901920368816,0.944190106158256,0.9852513819771164,0.979205323765852
normalized,6,6,reverse_light_on_xgboost,0.9894387542028632,0.975969851252202,0.9853088119886724,0.9859329032248382,0.955598475062604,0.99,0.9893935906914646
embeddings_only,7,1,reverse_light_on_xgboost,0.9757005588937206,0.9856979997266652,0.9809523642823624,0.9641216884005356,0.9484899173055258,0.9877360383221976,0.984099563809011
normalized,7,1,reverse_light_on_xgboost,0.9896717456658604,0.99,0.99,0.9779920553279828,0.9549953177438553,0.99,0.99
embeddings_only,7,2,reverse_light_on_xgboost,0.9873568021125418,0.936454937096843,0.96924033658018,0.9766313270291508,0.9514592726205559,0.9797355926271384,0.987214617237578
normalized,7,2,reverse_light_on_xgboost,0.99,0.9854843384268784,0.980666325290676,0.9894994915865551,0.9509067959792121,0.9899836267801256,0.99
embeddings_only,7,3,reverse_light_on_xgboost,0.972826070759967,0.9617802754358706,0.9708811818849072,0.9603462550216932,0.951744125027813,0.985172513876515,0.9856068330198174
normalized,7,3,reverse_light_on_xgboost,0.9852033071047172,0.9760056854294304,0.9843252757799336,0.974337678479394,0.9533747771564601,0.99,0.99
embeddings_only,7,4,reverse_light_on_xgboost,0.9801746482919262,0.9852724844558496,0.9557860105805585,0.9839979612629624,0.9486244902609355,0.9754895365333212,0.981876524020732
normalized,7,4,reverse_light_on_xgboost,0.99,0.99,0.9798398407152634,0.99,0.9547993197882219,0.9871497655269584,0.99
embeddings_only,7,5,reverse_light_on_xgboost,0.9854790460270224,0.9388421501027862,0.9786395067296058,0.9642178048657628,0.951187627072888,0.9779940822218176,0.971558419076432
normalized,7,5,reverse_light_on_xgboost,0.99,0.9679079012044988,0.989961080126486,0.9749473589383472,0.9581514554447447,0.9898185805873,0.9835553950081644
embeddings_only,7,6,reverse_light_on_xgboost,0.9838927193062816,0.9791789961351356,0.9835184367634632,0.9649868462363392,0.9472559277782401,0.9796481055170692,0.980719590299658
normalized,7,6,reverse_light_on_xgboost,0.99,0.9898047922160051,0.99,0.98988255970524,0.9522486717663888,0.9899730596387706,0.99
embeddings_only,7,7,reverse_light_on_xgboost,0.9897011652980956,0.9488531365652098,0.9771722491690058,0.9666098720702292,0.9486288874111667,0.9845169624555048,0.9752883127506102
normalized,7,7,reverse_light_on_xgboost,0.99,0.980170643084257,0.9883499122925644,0.987803544599639,0.9510517264957234,0.99,0.9879558816839812
embeddings_only,8,1,reverse_light_on_xgboost,0.9897840469840508,0.9419574291715176,0.9806858419196688,0.9658935951969324,0.9427102165853319,0.9851674701061228,0.9862688267206148
normalized,8,1,reverse_light_on_xgboost,0.99,0.9792701388040644,0.99,0.9775259622810086,0.9502070183616809,0.99,0.99
embeddings_only,8,2,reverse_light_on_xgboost,0.9750996816393928,0.9539631616915972,0.9604716203297524,0.980387170800477,0.9561490297423222,0.9773485625055036,0.980180734653086
normalized,8,2,reverse_light_on_xgboost,0.9871713338249578,0.9666911559138924,0.9735575532026748,0.99,0.9580401713758085,0.9896087655138368,0.99
